,Unnamed: 0,loan_status,Principal,terms,effective_date,due_date,age,education,Gender
0,0,PAIDOFF,1000,30,9/8/2016,10/7/2016,45,High School or Below,male
2,2,PAIDOFF,1000,30,9/8/2016,10/7/2016,33,Bechalor,female
3,3,PAIDOFF,1000,15,9/8/2016,9/22/2016,27,college,male
4,4,PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,female
6,6,PAIDOFF,1000,30,9/9/2016,10/8/2016,29,college,male
7,7,PAIDOFF,1000,30,9/9/2016,10/8/2016,36,college,male
8,8,PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,male
9,9,PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
10,10,PAIDOFF,300,7,9/10/2016,9/16/2016,29,college,male
11,11,PAIDOFF,1000,15,9/10/2016,10/9/2016,39,High School or Below,male
12,12,PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
13,13,PAIDOFF,900,7,9/10/2016,9/16/2016,26,college,female
14,14,PAIDOFF,1000,7,9/10/2016,9/16/2016,27,High School or Below,male
15,15,PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
16,16,PAIDOFF,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
17,17,PAIDOFF,1000,15,9/10/2016,9/24/2016,32,High School or Below,male
18,18,PAIDOFF,1000,30,9/10/2016,10/9/2016,32,High School or Below,male
19,19,PAIDOFF,800,30,9/10/2016,10/9/2016,26,college,male
20,20,PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
22,22,PAIDOFF,1000,30,9/10/2016,10/9/2016,25,High School or Below,male
23,23,PAIDOFF,1000,15,9/10/2016,9/24/2016,26,college,male
25,25,PAIDOFF,1000,30,9/10/2016,10/9/2016,29,High School or Below,male
26,26,PAIDOFF,800,15,9/10/2016,9/24/2016,39,Bechalor,male
27,27,PAIDOFF,1000,15,9/10/2016,9/24/2016,34,Bechalor,male
28,28,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,college,male
29,29,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
30,30,PAIDOFF,800,15,9/11/2016,9/25/2016,33,High School or Below,male
31,31,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
32,32,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,male
33,33,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
34,34,PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,male
36,36,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
39,39,PAIDOFF,1000,30,9/11/2016,10/10/2016,21,Bechalor,male
40,40,PAIDOFF,1000,15,9/11/2016,9/25/2016,32,college,female
41,41,PAIDOFF,800,15,9/11/2016,9/25/2016,30,college,male
42,42,PAIDOFF,1000,7,9/11/2016,9/24/2016,31,Bechalor,male
43,43,PAIDOFF,1000,15,9/11/2016,9/25/2016,30,college,male
44,44,PAIDOFF,1000,15,9/11/2016,9/25/2016,24,Bechalor,female
45,45,PAIDOFF,800,7,9/11/2016,9/17/2016,35,High School or Below,male
46,46,PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
47,47,PAIDOFF,1000,30,9/11/2016,10/10/2016,32,college,male
49,49,PAIDOFF,800,15,9/11/2016,9/25/2016,50,High School or Below,male
51,51,PAIDOFF,1000,30,9/11/2016,10/10/2016,35,Bechalor,female
52,52,PAIDOFF,800,15,9/11/2016,9/25/2016,35,Bechalor,female
53,53,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
54,54,PAIDOFF,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
55,55,PAIDOFF,1000,15,9/11/2016,9/25/2016,25,college,male
56,56,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
57,57,PAIDOFF,1000,30,9/11/2016,10/10/2016,26,Bechalor,male
58,58,PAIDOFF,800,15,9/11/2016,9/25/2016,44,High School or Below,female
59,59,PAIDOFF,800,15,9/11/2016,9/25/2016,39,Master or Above,male
60,60,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,Bechalor,male
62,62,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
63,63,PAIDOFF,1000,30,9/11/2016,10/10/2016,45,college,male
65,65,PAIDOFF,900,15,9/11/2016,9/25/2016,28,college,male
66,66,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,Bechalor,male
67,67,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
69,69,PAIDOFF,1000,30,9/11/2016,10/10/2016,43,Bechalor,male
70,70,PAIDOFF,800,15,9/11/2016,9/25/2016,29,college,male
71,71,PAIDOFF,800,15,9/11/2016,9/25/2016,29,High School or Below,male
72,72,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,Bechalor,female
73,73,PAIDOFF,1000,15,9/11/2016,9/25/2016,34,college,male
74,74,PAIDOFF,1000,15,9/11/2016,9/25/2016,25,college,male
75,75,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
77,77,PAIDOFF,1000,30,9/11/2016,10/10/2016,35,college,male
79,79,PAIDOFF,1000,30,9/11/2016,10/10/2016,44,High School or Below,female
80,80,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
81,81,PAIDOFF,1000,7,9/11/2016,9/17/2016,25,college,male
82,82,PAIDOFF,1000,15,9/11/2016,9/25/2016,29,college,male
83,83,PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,male
86,86,PAIDOFF,1000,30,9/11/2016,10/10/2016,24,High School or Below,female
87,87,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,female
89,89,PAIDOFF,800,15,9/11/2016,9/25/2016,46,High School or Below,female
90,90,PAIDOFF,800,15,9/11/2016,9/25/2016,34,college,female
92,92,PAIDOFF,800,15,9/11/2016,9/25/2016,38,High School or Below,male
93,93,PAIDOFF,800,15,9/11/2016,9/25/2016,27,High School or Below,male
94,94,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,High School or Below,male
95,95,PAIDOFF,1000,30,9/11/2016,10/10/2016,36,college,male
97,97,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,college,male
98,98,PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
99,99,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,Bechalor,female
101,101,PAIDOFF,800,15,9/11/2016,9/25/2016,38,college,male
102,102,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,college,male
103,103,PAIDOFF,1000,15,9/11/2016,9/25/2016,45,High School or Below,male
104,104,PAIDOFF,1000,15,9/11/2016,9/25/2016,35,college,male
106,106,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
107,107,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
108,108,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,college,male
109,109,PAIDOFF,1000,7,9/11/2016,9/24/2016,29,college,male
110,110,PAIDOFF,800,15,9/11/2016,9/25/2016,29,college,male
111,111,PAIDOFF,1000,30,9/11/2016,11/9/2016,27,college,female
112,112,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,male
113,113,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
114,114,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,college,male
115,115,PAIDOFF,1000,15,9/11/2016,9/25/2016,25,High School or Below,male
116,116,PAIDOFF,1000,30,9/11/2016,10/10/2016,40,college,male
117,117,PAIDOFF,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
118,118,PAIDOFF,1000,30,9/11/2016,10/10/2016,35,Bechalor,male
119,119,PAIDOFF,800,15,9/11/2016,9/25/2016,24,college,male
120,120,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,college,male
121,121,PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
122,122,PAIDOFF,1000,15,9/11/2016,10/25/2016,20,college,male
123,123,PAIDOFF,1000,15,9/11/2016,9/25/2016,23,college,male
124,124,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
125,125,PAIDOFF,1000,30,9/11/2016,10/10/2016,26,college,male
126,126,PAIDOFF,1000,15,9/11/2016,9/25/2016,28,High School or Below,male
127,127,PAIDOFF,800,15,9/11/2016,9/25/2016,43,High School or Below,male
128,128,PAIDOFF,1000,15,9/11/2016,9/25/2016,34,Bechalor,male
129,129,PAIDOFF,1000,30,9/11/2016,10/10/2016,38,Bechalor,male
130,130,PAIDOFF,1000,15,9/11/2016,9/25/2016,26,High School or Below,male
131,131,PAIDOFF,800,15,9/11/2016,9/25/2016,43,High School or Below,male
132,132,PAIDOFF,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
133,133,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,female
134,134,PAIDOFF,800,15,9/11/2016,9/25/2016,24,college,male
135,135,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
136,136,PAIDOFF,800,15,9/11/2016,9/25/2016,32,High School or Below,female
137,137,PAIDOFF,1000,15,9/11/2016,10/25/2016,22,college,male
138,138,PAIDOFF,1000,15,9/11/2016,9/25/2016,47,High School or Below,male
139,139,PAIDOFF,1000,30,9/11/2016,10/10/2016,20,High School or Below,male
140,140,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
141,141,PAIDOFF,800,15,9/11/2016,9/25/2016,35,college,male
143,143,PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,female
144,144,PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
145,145,PAIDOFF,1000,15,9/11/2016,9/25/2016,31,college,male
146,146,PAIDOFF,1000,30,9/11/2016,11/9/2016,26,college,female
148,148,PAIDOFF,1000,15,9/12/2016,9/26/2016,26,Bechalor,male
149,149,PAIDOFF,800,15,9/12/2016,9/26/2016,35,Bechalor,male
151,151,PAIDOFF,800,15,9/12/2016,9/26/2016,23,college,male
152,152,PAIDOFF,500,15,9/12/2016,9/26/2016,23,college,female
153,153,PAIDOFF,1000,15,9/12/2016,9/26/2016,30,college,male
154,154,PAIDOFF,1000,30,9/12/2016,10/11/2016,34,college,male
155,155,PAIDOFF,1000,30,9/12/2016,10/11/2016,36,High School or Below,female
157,157,PAIDOFF,800,15,9/12/2016,9/26/2016,29,High School or Below,male
158,158,PAIDOFF,1000,15,9/12/2016,9/26/2016,28,college,female
159,159,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
160,160,PAIDOFF,1000,15,9/12/2016,9/26/2016,24,High School or Below,male
161,161,PAIDOFF,800,15,9/12/2016,9/26/2016,31,Bechalor,male
162,162,PAIDOFF,1000,30,9/12/2016,10/11/2016,28,High School or Below,male
163,163,PAIDOFF,1000,15,9/12/2016,9/26/2016,27,college,female
164,164,PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
